"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Nightmare","Halsey","Nightmare","2019-05-17",231998,67,0.0188,0.611,0.622,0,0.359,-5.075,0.0734,146.11,9,0,231998,0.538,4,"340UVheS8z3ncW9TTUhAbc","electropop","etherpop","indie poptimism","pop",NA,NA
"I Am (feat. Flo Milli)","Baby Tate","After The Rain","2020-12-04",182464,62,0.105,0.932,0.835,0,0.0847,-3.905,0.156,144.02,1,1,182464,0.926,4,"4E7ZbuJH3NddjnMWLstkRq","trap queen",NA,NA,NA,NA,NA
"THATS WHAT I WANT","Lil Nas X","MONTERO","2021-09-17",143901,83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,1,0,143901,0.546,4,"0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA
"Sorry","Lauren Jauregui","PRELUDE","2021-11-05",185506,36,0.608,0.355,0.295,0,0.352,-8.01,0.0386,170.035,2,0,185506,0.331,3,"7JVQooQCP7rkb0xcPzCI7s","r&b",NA,NA,NA,NA,NA
"Confetti (feat. Saweetie)","Little Mix","Between Us (The Mixers Edition)","2021-11-11",185374,59,0.178,0.733,0.643,0,0.0609,-6.45,0.053,107.088,9,0,185374,0.485,4,"4oXV7uPMrMNSZfLMYtiqIX","girl group","pop","talent show","uk pop",NA,NA
"He Like That","Fifth Harmony","Fifth Harmony","2017-10-29",217106,53,0.362,0.592,0.681,0,0.142,-5.597,0.141,147.016,0,1,217106,0.491,4,"1zjcIIrm2fbVFmG3dsj03e","girl group","pop","talent show",NA,NA,NA
"LOKITA","NATTI NATASHA","LOKITA","2022-09-30",193294,56,0.317,0.769,0.843,9.87e-06,0.0876,-3.782,0.0898,96.045,9,0,193294,0.742,4,"48mGOtVuxLr7sq8jZpWLxi","latin pop","rap latina","reggaeton","urbano latino",NA,NA
"Quiet","Camila Cabello","Familia","2022-04-07",163300,38,0.132,0.75,0.511,0,0.222,-9.143,0.124,90.011,11,1,163300,0.449,4,"4lye49RJ7RwX2Navpt1O32","dance pop","pop",NA,NA,NA,NA
"Falling","Lauren Jauregui","PRELUDE","2021-11-05",263000,40,0.494,0.683,0.437,0.0038,0.11,-7.863,0.183,167.91,6,0,263000,0.474,4,"5FvpqeAoQCyOuR3sBwrSnV","r&b",NA,NA,NA,NA,NA
"Jobs","City Girls","City On Lock","2020-06-20",121386,53,0.00094,0.885,0.592,9.04e-05,0.081,-6.06,0.303,159.996,10,0,121386,0.672,4,"2fHXAuXRcCDXbZYJIUZCGW","scam rap","trap queen",NA,NA,NA,NA
"Brave Honest Beautiful (feat. Meghan Trainor)","Fifth Harmony","Reflection (Deluxe)","2015-01-30",208293,52,0.147,0.511,0.872,0,0.357,-3.588,0.145,99.314,6,1,208293,0.704,4,"4AyleMuo6xd4bLkyxY9S3I","girl group","pop","talent show",NA,NA,NA
