"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Back Pocket","Vulfpeck","Thrill of the Arts","2015-10-09",66,0.478,0.839,0.585,0.00281,0.0435,-7.738,0.153,89.821,2,1,181259,0.89,4,"1DrlLvlYd1FIjNavRm6NdX","ann arbor indie","funk rock","instrumental funk",NA,NA,NA,NA,NA,NA,NA
"Como Benito","Xavibo","Como Benito","2021-07-30",43,0.0695,0.757,0.73,6.27e-06,0.296,-5.613,0.0401,151.035,10,1,209219,0.745,4,"6VHwss190bzNzFUU2T0jNd","rap espanol","urbano espanol",NA,NA,NA,NA,NA,NA,NA,NA
"Mr Magic (Through The Smoke)","Amy Winehouse","Frank","2003-10-20",56,0.0203,0.858,0.518,0.0232,0.0961,-7.241,0.0416,99.507,5,0,236504,0.608,4,"5ZTZL5UlpF3UZ8H7BhoI9N","british soul","neo soul",NA,NA,NA,NA,NA,NA,NA,NA
"Después de la Playa","Bad Bunny","Un Verano Sin Ti","2022-05-06",79,0.356,0.564,0.903,0,0.175,-3.221,0.307,78.293,5,1,230400,0.607,4,"1dm6z1fWB0cErMszU25dy2","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA,NA
"Father Stretch My Hands Pt. 1","Kanye West","The Life Of Pablo","2016-06-10",88,0.118,0.724,0.573,0,0.538,-4.113,0.0549,113.088,7,1,135920,0.438,4,"4KW1lqgSr8TKrvBII0Brf8","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA
"DESPECHÁ","ROSALÍA","DESPECHÁ","2022-07-28",81,0.184,0.919,0.623,1.63e-05,0.0609,-6.521,0.0992,130.037,7,1,157017,0.775,4,"5ildQOEKmJuWGl2vRkFdYc","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA,NA,NA
"N95","Kendrick Lamar","Mr. Morale & The Big Steppers","2022-05-13",81,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,139.956,1,1,195950,0.408,4,"0fX4oNGBWO3dSGUZcVdVV2","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA
"So So","rusowsky","So So","2019-09-19",61,0.815,0.825,0.353,0.0193,0.109,-8.859,0.156,129.936,11,0,125557,0.18,4,"7s9xtALBX5o96TjRB7R078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMBIAR EL MUNDO","Bejo","Tripi Hapa","2021-06-18",47,0.565,0.674,0.841,0,0.119,-5.253,0.197,82.911,2,1,167710,0.753,4,"6YnkINOGXQUXaRM58kQI1N","rap canario","spanish hip hop","urbano espanol",NA,NA,NA,NA,NA,NA,NA
"Seve - Radio Edit","Tez Cadey","Seve (Radio Edit)","2015-01-26",69,0.444,0.74,0.831,0.00304,0.0769,-7.321,0.0456,121.034,5,1,210853,0.448,4,"6UqRGwjwYL0stXbaodTxwo","deep tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA
