"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"54","Skinny Love","Bon Iver","For Emma, Forever Ago",2008,"Spring",71,0.842,0.592,0.256,2.38e-06,0.088,-14.031,0.0449,76.358,"4","0",238532,0.103,"4","1HkOPLwAJH3kE8UnqgxF4s","chamber pop","eau claire indie","indie folk","melancholia","modern rock",NA
"55","Stay","Gracie Abrams","Stay",2019,"Autumn",71,0.883,0.618,0.37,0,0.123,-10.5,0.0543,114.26,"10","1",177152,0.433,"4","0Uon5NsSAkBDx69XYOaQ5P","alt z",NA,NA,NA,NA,NA
"56","So My Darling - Acoustic","Rachel Chinouriri","So My Darling (Acoustic)",2022,"Winter",66,0.907,0.568,0.238,8.21e-06,0.135,-11.111,0.0457,137.958,"9","1",228922,0.563,"4","5NtmfJwkA0AXsp2WWHviPn","uk pop",NA,NA,NA,NA,NA
"57","In The Stars","Benson Boone","In The Stars",2022,"Spring",88,0.338,0.362,0.54,0,0.139,-6.031,0.0528,78.007,"10","1",216410,0.3,"3","1ei3hzQmrgealgRKFxIcWn","singer-songwriter pop",NA,NA,NA,NA,NA
"58","Salimo de Noche","Tiago PZK","Salimo de Noche",2021,"Autumn",67,0.294,0.669,0.628,1.83e-05,0.124,-4.177,0.0526,83.803,"2","1",177857,0.784,"4","6P096SaOzrgGxs8NWOfX7M","trap argentino","trap latino","urbano latino",NA,NA,NA
"59","La Historia Remix","El Taiger","La Historia Remix",2021,"Autumn",52,0.342,0.922,0.641,0.000369,0.0786,-6.345,0.161,100.002,"10","1",293025,0.658,"4","0zkZ0fskODnEhPvDsVCcxm","cubaton",NA,NA,NA,NA,NA
"60","Where's My Love - French Version","SYML","Where's My Love",2017,"Summer",53,0.924,0.429,0.2,0.0081,0.106,-12.981,0.031,103.785,"0","0",247826,0.148,"4","11xs8VwgHHIQqz3dbyEcLS","indie anthem-folk","modern indie pop",NA,NA,NA,NA
"61","Un Ratito","Bad Bunny","Un Verano Sin Ti",2022,"Spring",79,0.305,0.787,0.546,4.55e-05,0.122,-7.094,0.0532,93.05,"0","0",176936,0.222,"4","5CzixCxDkRXX9mScCmah8O","reggaeton","trap latino","urbano latino",NA,NA,NA
"62","Iris - Acoustic","The Goo Goo Dolls","Rarities",2021,"Summer",55,0.452,0.446,0.292,0.025,0.084,-14.207,0.0348,157.831,"2","1",205600,0.559,"3","756z13Yy7jiN1wua27ZcH1","neo mellow","permanent wave","pop rock","post-grunge",NA,NA
"63","Mi Luz (ft. Rels B)","Rvfv","NASTU",2022,"Winter",80,0.509,0.705,0.526,0.000106,0.0742,-6.359,0.327,200.031,"6","1",168000,0.671,"4","0TkIQ2I48rz4kpk1XpfyHq","drill espanol","flamenco urbano","urbano espanol","urbano latino",NA,NA
