"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"77","Filastrocca per grandi (con Piccolo Coro Dell'Antoniano)","Eugenio In Via Di Gioia","Amore e Rivoluzione",2022,"Spring",34,0.533,0.605,0.784,0,0.0637,-4.606,0.198,74.903,"5","0",239906,0.818,"4","5av6TOqS1AfowLRbh3XYr5","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"78","Cin Cin","Alfa","Before Wanderlust",2019,"Winter",66,0.261,0.701,0.634,0,0.131,-4.16,0.0344,121.048,"1","1",180094,0.371,"4","5IWgFYcdZ7BqRYKW6lzsAg","pop virale italiano",NA,NA,NA,NA,NA,NA
"79","Occhiaie","Galeffi","Scudetto",2017,"Autumn",45,0.0116,0.474,0.793,0,0.0592,-3.898,0.0476,145.108,"0","1",203100,0.411,"4","7i7iqHvilL3S95Np8Pg6iX","italian indie pop","rome indie",NA,NA,NA,NA,NA
"80","Baci alla française","Peter White","Primo Appuntamento",2019,"Spring",52,0.17,0.712,0.77,4e-06,0.121,-6.759,0.045,97.941,"2","1",176020,0.548,"4","2ud1Cqb813KNRZQxR5qzgH","italian indie pop","rome indie",NA,NA,NA,NA,NA
"81","Unholy (feat. Kim Petras)","Sam Smith","Unholy (feat. Kim Petras)",2022,"Autumn",87,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,"2","1",156943,0.238,"4","3nqQXoyQOWXiESFLlDF1hG","pop","uk pop",NA,NA,NA,NA,NA
"82","Superclassico","Ernia","Gemelli",2020,"Summer",67,0.0624,0.623,0.663,4.49e-06,0.0922,-6.458,0.142,149.91,"11","1",172200,0.346,"4","6Ahg1hncxUdK0ICqU03BCu","italian hip hop","italian pop","milan indie",NA,NA,NA,NA
"83","CI SARÒ","Alfa","CI SARÒ",2021,"Autumn",57,0.236,0.681,0.726,0,0.343,-6.1,0.119,105.015,"6","0",180714,0.547,"4","3EwBE1oL0u61OycWxdCuyI","pop virale italiano",NA,NA,NA,NA,NA,NA
"84","ABISSALE","Tananai","RAVE, ECLISSI",2022,"Autumn",67,0.166,0.338,0.55,0,0.0579,-6.437,0.0443,146.137,"9","1",202191,0.224,"4","3U8TFdchz8dK1nYYgZgd9f","italian pop",NA,NA,NA,NA,NA,NA
"85","RADIO ENTUSIASMO","Emanuele Aloia","RADIO ENTUSIASMO",2022,"Summer",35,0.0272,0.653,0.916,0,0.261,-3.587,0.0944,179.969,"11","0",201333,0.963,"4","57lhrjbhtzOIwucZpXdDFH","italian pop",NA,NA,NA,NA,NA,NA
"86","Un Pacco Per Te","Il Pagante","Un Pacco Per Te",2021,"Winter",37,0.181,0.778,0.831,0,0.376,-4.847,0.0508,126.009,"11","0",169523,0.614,"4","60ZYAl00SnD5gzatqjcbRk","italian adult pop","italian pop",NA,NA,NA,NA,NA
"87","I love you baby","Jovanotti","I love you baby",2022,"Spring",58,0.121,0.66,0.773,0,0.256,-5.659,0.0376,139.957,"6","0",212985,0.805,"4","1AbtrHeUDmWsYUsRApmICf","italian adult pop","italian pop",NA,NA,NA,NA,NA
"88","Narghilè","Peter White","Narghilè",2018,"Winter",58,0.141,0.749,0.865,0,0.0853,-6.556,0.0542,100.019,"7","0",165255,0.338,"4","2FWisfcatLcshNYfCtANIj","italian indie pop","rome indie",NA,NA,NA,NA,NA
"89","Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox",2022,"Autumn",54,0.158,0.712,0.657,0,0.14,-6.965,0.143,90.022,"9","1",230483,0.557,"4","0CPailVeTy4L39Zaiuopap","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA
"90","Shangai","Carl Brave","Coraggio",2020,"Winter",51,0.0794,0.689,0.791,0,0.0879,-3.735,0.0849,101.935,"4","0",211906,0.29,"4","2Tnb3luV5Rc4DYO8Muckcr","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
"91","Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,"5","0",243716,0.187,"4","1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA,NA
"92","DON'T YOU WORRY","Black Eyed Peas","DON'T YOU WORRY",2022,"Summer",74,0.203,0.816,0.875,0,0.209,-4.821,0.0311,131.958,"11","1",196363,0.491,"4","0gYXw7aPoybWFfB7btQ0eM","dance pop","pop","pop rap",NA,NA,NA,NA
"93","TÊTE (feat. Medy & VillaBanks)","AVA","TÊTE (feat. Medy & VillaBanks)",2022,"Summer",68,0.0153,0.588,0.744,0,0.0743,-3.927,0.324,130.066,"1","0",180904,0.55,"4","14XAuSrVFla2uyMiYVwQtq","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"94","MAKUMBA","Noemi","Metamorfosi",2021,"Spring",53,0.312,0.738,0.756,0,0.0746,-5.477,0.207,140.103,"9","1",217621,0.681,"4","2opRyiaqpnQCH0jfCY9Wjd","italian adult pop","italian pop",NA,NA,NA,NA,NA
