"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"80","Afterlife","Avenged Sevenfold","Avenged Sevenfold","2007","Autumn",75,0.000429,0.487,0.949,2.91e-05,0.231,-4.217,0.0798,110.02,"2","0",352426,0.406,"4","7zAt4tdL44D3VuzsvM0N8n","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"81","Hot Dog","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","2000","Autumn",69,0.00152,0.6,0.938,1.48e-05,0.369,-3.615,0.0701,101.183,"1","1",230240,0.597,"4","6Zj3YsYfj8YTY9aGMDnpn8","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"82","Careless Whisper","George Michael","Ladies And Gentlemen... The Best Of George Michael","1998","Autumn",84,0.13,0.574,0.628,0,0.271,-8.815,0.036,153.119,"2","0",300106,0.803,"4","4jDmJ51x1o9NZB5Nxxc7gY","new wave pop",NA,NA,NA,NA,NA,NA,NA,NA
"83","Glimpse of Us","Joji","Glimpse of Us","2022","Summer",85,0.891,0.44,0.317,4.78e-06,0.141,-9.258,0.0531,169.914,"8","1",233456,0.268,"3","6xGruZOHLs39ZbVccQTuPZ","viral pop",NA,NA,NA,NA,NA,NA,NA,NA
"84","Bat Country","Avenged Sevenfold","City of Evil","2005","Summer",73,0.000248,0.541,0.968,8.28e-06,0.423,-4.129,0.0396,125.04,"0","1",311813,0.505,"4","3sHH7lklbfpcraDDvYnjo7","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"85","L'ultimo giorno","Colapesce","I Mortali","2020","Summer",28,0.168,0.481,0.6,1.68e-06,0.332,-7.423,0.0274,142.043,"11","1",232915,0.564,"4","16HXI0YgHqfmKvZxtu7gAf","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA
"86","Daylight","Harry Styles","Harry's House","2022","Spring",80,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,145.5,"0","1",164533,0.626,"3","51Zw1cKDgkad0CXv23HCMU","pop",NA,NA,NA,NA,NA,NA,NA,NA
"87","Floppino","Frah Quintale","Regardez moi","2017","Autumn",51,0.119,0.693,0.511,4.73e-05,0.111,-7.99,0.156,79.986,"10","0",163874,0.477,"4","7mwmNijrxg2rSeWADwrAfK","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"88","Roma capoccia","Various Artists","Anni 70","2013","Summer",37,0.217,0.552,0.509,0,0.0743,-7.452,0.0278,121.481,"4","1",289453,0.495,"4","3XFEN4nrdCfdlVq7dtpbEf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Walkin' On The Sun","Smash Mouth","Fush Yu Mang (20th Anniversary Edition)","1997","Summer",71,0.346,0.745,0.972,0,0.148,-5.598,0.0316,123.067,"6","1",207786,0.968,"4","4TQeNHx85xcP9YRkvJC6K1","pop rock","post-grunge",NA,NA,NA,NA,NA,NA,NA
