"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"17","Vieni nel mio cuore","Ultimo","Vieni nel mio cuore","2022","Spring",57,0.248,0.677,0.66,0,0.177,-7.104,0.0462,127.087,"1","1",172761,0.253,"4","0OHD6Ask31KqVqxge0OwlG","italian adult pop","italian pop",NA,NA,NA
"18","Scrivile Scemo","Pinguini Tattici Nucleari","AHIA!","2020","Winter",68,0.123,0.617,0.916,0,0.183,-3.538,0.0317,135.091,"9","1",214926,0.552,"4","71r3UlkV7sWvUYjas5paqi","bergamo indie","italian indie pop","italian pop","milan indie",NA
"19","Senza chiedere permesso","Alex Wyse","Senza chiedere permesso","2022","Spring",46,0.342,0.544,0.647,0,0.289,-7.004,0.157,178.026,"0","1",171235,0.556,"4","6AzLCE04M1KSXpybJI6gFf","italian pop",NA,NA,NA,NA
"20","Tienimi stanotte","Luigi Strangis","Strangis","2022","Summer",58,0.118,0.571,0.876,0,0.367,-4.993,0.204,154.992,"2","1",204692,0.603,"4","1B1b3WvN7AuGW5hQeH5KTn",NA,NA,NA,NA,NA
"21","Mi Manchi","Aka 7even","Aka 7even","2021","Spring",55,0.235,0.635,0.779,0,0.12,-4.976,0.0389,126.838,"8","1",164013,0.355,"4","7mWPjS3fX0ymPSrkDJrVaP","italian adult pop","italian pop",NA,NA,NA
"22","Meteoriti","Mr.Rain","Petrichor","2021","Winter",59,0.455,0.608,0.499,0,0.16,-9.593,0.0724,76.957,"1","1",188253,0.293,"4","1Lf1F7qEOS4O4wl9l8lmUq","italian adult pop","italian pop",NA,NA,NA
"23","Il senso di ogni cosa - 2020 version","Fabrizio Moro","Canzoni d'amore nascoste","2020","Autumn",56,0.419,0.541,0.357,0,0.101,-9.624,0.0255,79.898,"1","1",223533,0.306,"4","2wrIPLNaUfkjlUo8JqBigd","italian adult pop",NA,NA,NA,NA
"24","Routine","Calma","Routine","2022","Winter",26,0.0531,0.616,0.659,0,0.117,-6.798,0.0751,159.853,"0","1",192718,0.439,"4","5DmIYQLe0AMpTnfgpPwBt5",NA,NA,NA,NA,NA
"25","Il bambino che contava le stelle","Ultimo","Solo","2021","Autumn",56,0.758,0.707,0.39,0,0.17,-6.81,0.0419,89.9,"6","0",147973,0.439,"4","06RGdoTHoxRRIadjK6l8hx","italian adult pop","italian pop",NA,NA,NA
"26","Accade","Alex Wyse","Accade","2022","Winter",40,0.381,0.527,0.525,0,0.155,-6.76,0.0343,129.662,"6","1",167538,0.374,"4","0UmTRimL3iT3VkaN3DlOeu","italian pop",NA,NA,NA,NA
"27","Ridere","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr","2020","Winter",70,0.0493,0.713,0.902,0,0.0781,-3.009,0.0378,116.909,"9","1",214733,0.72,"4","5LZVK19ieaV8Mk9FsqTL3F","bergamo indie","italian indie pop","italian pop","milan indie",NA
"28","Prima di te","Albe","Prima di te","2021","Winter",35,0.249,0.562,0.665,0,0.103,-8.229,0.206,167.986,"11","1",158638,0.546,"4","58IqnJR6PRquHRqf4jLbdi","italian pop",NA,NA,NA,NA
