"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Dogboy","Yung Lean","Starz","2020-05-15",136293,41,0.638,0.782,0.544,0.844,0.107,-6.453,0.0966,155.984,7,1,136293,0.572,4,"7DwJODbGJgm1DTudNHFsQD","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"Salò o Le 120 Giornate Di Sodoma","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",103334,5,0.159,0.634,0.747,0,0.168,-5.779,0.0676,79.011,4,0,103334,0.765,4,"3YI2RgXgL1543FqkB0UvSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Un sabato italiano","Sergio Caputo","Un Sabato Italiano","1983-01-01",219613,44,0.683,0.533,0.548,0,0.103,-12.742,0.0659,112.34,7,1,219613,0.59,4,"6LEIAGml1CJg1WwDgwoi9u","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramen Girl","Massimo Pericolo","Scialla Semper","2019-04-12",146043,52,0.171,0.764,0.663,0,0.273,-5.317,0.169,132.258,1,1,146043,0.611,4,"7kC6oX1tUNnx2WCLM4HYjq","italian hip hop","trap metal italiana",NA,NA,NA,NA,NA,NA,NA,NA
"Boy Band","Velvet","Versomarte","2001-01-01",229213,46,0.0272,0.607,0.892,0,0.0943,-5.48,0.0296,130.032,7,1,229213,0.844,4,"4U1ie1YdzXwDt7CDEMat3g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soldati Sessuali","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",129232,5,0.0127,0.61,0.884,0.00107,0.729,-5.633,0.185,76.466,2,1,129232,0.825,4,"5hHL4Ok21XnYpdoo8kRczZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Io e Rino","Sergio Caputo","Un Sabato Italiano","1983-01-01",196626,21,0.243,0.614,0.387,0,0.323,-16.04,0.0382,91.142,2,1,196626,0.76,4,"3S1NDrtreSXdV1A6NL8TKN","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"I've Told Every Little Star","Linda Scott","Starlight, Starbright","2000-01-01",138692,30,0.794,0.671,0.545,1.65e-05,0.335,-8.504,0.0284,118.368,3,1,138692,0.957,4,"3W6n5L0RYUkqEx2vAtzvop","brill building pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Is This It","The Strokes","Is This It","2001-07-30",151333,65,0.149,0.664,0.679,4.84e-05,0.347,-8.293,0.03,96.002,5,1,151333,0.804,4,"2pAD0PKMUMtxlMvz33tYzB","alternative rock","garage rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"El Dorado King","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",124945,4,0.125,0.7,0.886,0.000122,0.0994,-5.014,0.104,103.938,0,1,124945,0.814,4,"72wsuc29PMl7uhqFw6z0V3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lost Track","HAIM","Lost Track","2022-03-01",142133,46,0.477,0.77,0.558,0.000285,0.283,-8.425,0.132,162.027,7,1,142133,0.662,4,"5Z8XoeUBjZngKO0NGWnAiS","indietronica","metropopolis",NA,NA,NA,NA,NA,NA,NA,NA
"I miss you","Tommy Toxxic","Ghost","2019-06-18",193875,13,0.239,0.689,0.693,7.53e-06,0.0932,-5.91,0.148,79.991,5,0,193875,0.42,4,"1CxuI20cm1kQjh26GJ9JTE","emo rap italiano","hyperpop italiano","trap italiana",NA,NA,NA,NA,NA,NA,NA
"Dora daccela ancora","Prophilax","Vent'anni di analità","2010",279706,19,0.0665,0.437,0.959,0,0.15,-1.718,0.054,156.016,9,1,279706,0.601,4,"7Fl2ErZNUUjmM8fFhafUNs","italian power metal",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satanassi Infernali","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",123692,6,0.0269,0.871,0.749,0.216,0.118,-4.281,0.183,129.924,4,0,123692,0.318,4,"5RutIT0Kvuul0Ut7F4c904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Il grande Modugno","Tutti Fenomeni","Privilegio raro","2022-05-06",195157,34,0.375,0.742,0.826,3.78e-05,0.343,-5.196,0.0318,125.954,5,0,195157,0.923,4,"6YCWWHfa7YmzYQmgItnSY4","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"Rock the Casbah - Remastered","The Clash","Combat Rock (Remastered)","1982",222426,75,0.291,0.797,0.872,0,0.284,-6.727,0.0575,129.885,9,0,222426,0.866,4,"56KqaFSGTb7ifpt16t5Y1N","alternative rock","permanent wave","punk","rock",NA,NA,NA,NA,NA,NA
"Shine So Bright","Nottz","Shine So Brite - Single","2013-05-21",173492,7,0.0475,0.752,0.863,0,0.0826,-4.818,0.27,101.681,0,1,173492,0.89,4,"4gGLHh52LzxorQAARLplRX","alternative hip hop","soul flow","virginia hip hop",NA,NA,NA,NA,NA,NA,NA
"Piccoli Cvni","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",113178,3,0.0134,0.604,0.948,0.0262,0.594,-7.292,0.12,139.972,7,1,113178,0.325,4,"0rdMlTwiQs9xNEszdZNDyK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volt","Yung Lean","Unknown Memory","2014-10-23",193280,48,0.0372,0.376,0.652,0.00146,0.485,-9.154,0.068,143.998,10,0,193280,0.0607,4,"2OakTFuAgwO1QMQJabMKBW","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"La Scala Buia - 2001 Remaster","Mina","Del mio meglio n. 3 (2001 Remastered Version)","1975",230960,11,0.542,0.478,0.514,2.49e-05,0.0924,-8.335,0.0494,149.281,5,1,230960,0.82,4,"5oPdeVrHdMGZ4e2FA3Qo4h","classic italian pop","italian adult pop","italian pop","ye ye",NA,NA,NA,NA,NA,NA
"Impiegato del mese","20025xs","Idols","2021-01-21",156000,2,0.00601,0.603,0.748,0.00202,0.12,-7.296,0.465,179.986,6,1,156000,0.895,4,"3VMVjrIrPnDmr2uSw4FbUV","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bleahhh","NXFEIT","VEMOD 2014","2020-11-20",138814,19,0.193,0.437,0.907,2.32e-06,0.138,-0.927,0.406,96.495,10,0,138814,0.355,4,"3sqf0dhnqJqo0o6eCwZ0jl","hyperpop italiano","trap metal italiana",NA,NA,NA,NA,NA,NA,NA,NA
"Which Will","Nick Drake","Pink Moon","1972-02-25",176950,54,0.909,0.629,0.362,0.0462,0.0956,-9.571,0.0257,95.274,11,0,176950,0.348,4,"4Cg0paoTgxlo2LC85HKaab","british folk","folk","melancholia","singer-songwriter",NA,NA,NA,NA,NA,NA
"'O tiempo se ne va","Squallor","Squallor","2006-05-26",222920,4,0.54,0.628,0.543,0,0.24,-9.446,0.0731,109.489,9,1,222920,0.673,4,"3snU7FOEAIICu5jcWKPmAf","cartoni animati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolcezza E Potere","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",109014,3,0.0903,0.789,0.784,0,0.665,-6.414,0.243,141.967,1,0,109014,0.963,4,"3ycIGWCpoePjSeCtrzBXwx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promoter","Generic Animal","Presto","2020-02-20",161720,10,0.113,0.544,0.551,1.41e-05,0.0944,-5.527,0.0294,139.969,6,0,161720,0.499,3,"5ZhP2h4bv8EIvmlWNXOZCl","emo rap italiano","indie rock italiano","italian alternative","italian indie pop","milan indie","r&b italiano",NA,NA,NA,NA
